Name,NPC Name,Size,Type,Tags/Lair,Alignment,Environment,Challenge,XP,Source,Page,Reference,SRD,Description
Awakened Shrub,,Small,Plant,,Unaligned,Forest,0,10,MM,317,MM317,,An ordinary shrub given sentience and mobility.
Baboon,,Small,Beast,,Unaligned,"Forest, Hills",0,10,MM,318,MM318,,Two and a half foot tall monkeys.
Badger,,Tiny,Beast,,Unaligned,Forest,0,10,MM,318,MM318,,Short-legged omnivore.
Bat,,Tiny,Beast,,Unaligned,"Hills, Mountain, Underdark, Urban",0,10,MM,318,MM318,,Flying rodents.
Cat,,Tiny,Beast,,Unaligned,"Desert, Forest, Grassland, Urban",0,10,MM,320,MM320,,Small felines that are often jerks.
Crab,,Tiny,Beast,,Unaligned,Coastal,0,10,MM,320,MM320,,Pincer-clawed crustaceans.
Cranium Rat,,Tiny,Beast,,Lawful Evil,"Underdark, Urban",0,10,VGM,133,VGM133,,Rats with partially-exposed brains and psychic powers.
Crawling Claw,,Tiny,Undead,,Neutral Evil,Any,0,10,MM,44,MM44,,"The undead, animated severed hand of a killer."
Deer,,Medium,Beast,,Unaligned,"Forest, Grassland",0,10,MM,321,MM321,,"Cute-looking, often antlered forest dwellers"
Eagle,,Small,Beast,,Unaligned,"Coastal, Grassland, Hills, Mountain",0,10,MM,322,MM322,,Large bird of prey.
Frog,,Tiny,Beast,,Unaligned,"Forest, Swamp",0,0,MM,322,MM322,,Hoppy amphibians.
Giant Fire Beetle,,Small,Beast,,Unaligned,Underdark,0,10,MM,325,MM325,,Nocturnal vermin with glowing glands.
Goat,,Medium,Beast,,Unaligned,"Forest, Hills, Mountain, Urban",0,10,MM,330,MM330,,"Bearded, domesticated herd animals."
Hawk,,Tiny,Beast,,Unaligned,Any,0,10,MM,330,MM330,,Bird of prey.
Homunculus,,Tiny,Construct,,Neutral,Urban,0,10,MM,188,MM188,Y,"Toothy, winged little devil constructs that serve mages."
Hyena,,Medium,Beast,,Unaligned,"Desert, Forest, Grassland, Hills",0,10,MM,331,MM331,,Cat-dog scavengers known for their laughing bark.
Jackal,,Small,Beast,,Unaligned,"Desert, Grassland",0,10,MM,331,MM331,,"Small, omnivorous wolf-dog."
Lemure,,Medium,Fiend,devil,Lawful Evil,Extraplanar (Baator),0,10,MM,76,MM76,Y,"Fat, wriggly little demons."
Lizard,,Tiny,Beast,,Unaligned,"Coastal, Desert, Forest, Swamp, Underdark",0,10,MM,332,MM332,,Crawly reptiles.
Myconid Sprout,,Small,Plant,,Lawful Neutral,Underdark,0,10,MM,230,MM230,,Little fungus-folk.
Octopus,,Small,Beast,,Unaligned,Underwater,0,10,MM,333,MM333,,"Multi-tentacled, ink-spraying sea creature."
